Date,Open,High,Low,Close,Adj Close,Volume
2018-01-25,0.136822,0.136822,0.135573,0.136039,0.136039,4921770
2018-01-26,0.135555,0.159557,0.091337,0.119375,0.119375,13714100
2018-01-27,0.118157,0.120932,0.091614,0.100976,0.100976,7967360
2018-01-28,0.101224,0.112499,0.095968,0.097296,0.097296,20910700
2018-01-29,0.097167,0.099824,0.077958,0.089272,0.089272,12441600
2018-01-30,0.089484,0.090735,0.072537,0.075442,0.075442,7572320
2018-01-31,0.075515,0.086975,0.073689,0.079578,0.079578,17593500
2018-02-01,0.079713,0.085468,0.061182,0.070627,0.070627,17695000
2018-02-02,0.070437,0.072434,0.055514,0.071312,0.071312,10075100
2018-02-03,0.071983,0.078081,0.066921,0.077856,0.077856,12201700
2018-02-04,0.077763,0.077763,0.058530,0.061722,0.061722,10996500
2018-02-05,0.060788,0.064096,0.043811,0.050486,0.050486,7822880
2018-02-06,0.050618,0.059212,0.038583,0.058781,0.058781,9636530
2018-02-07,0.058470,0.064336,0.052192,0.053838,0.053838,9181470
2018-02-08,0.053833,0.064465,0.053833,0.059211,0.059211,13729000
2018-02-09,0.058865,0.060358,0.054408,0.060123,0.060123,12234200
2018-02-10,0.060110,0.061063,0.047742,0.050134,0.050134,15163400
2018-02-11,0.050553,0.053412,0.047287,0.050514,0.050514,11548100
2018-02-12,0.050725,0.053450,0.049716,0.052035,0.052035,9872650
2018-02-13,0.052644,0.053679,0.049668,0.050664,0.050664,7100600
2018-02-14,0.050683,0.056209,0.050683,0.054536,0.054536,9617780
2018-02-15,0.054465,0.060106,0.054455,0.058181,0.058181,12114400
2018-02-16,0.058373,0.061653,0.056227,0.061589,0.061589,10428800
2018-02-17,0.061560,0.071655,0.061055,0.071617,0.071617,15153200
2018-02-18,0.071872,0.072143,0.060826,0.064330,0.064330,13177100
2018-02-19,0.063483,0.068195,0.063483,0.067261,0.067261,10106700
2018-02-20,0.067260,0.068659,0.057783,0.057783,0.057783,8398660
2018-02-21,0.057915,0.061931,0.052804,0.055405,0.055405,9700100
2018-02-22,0.055395,0.058327,0.049890,0.050978,0.050978,8557360
2018-02-23,0.050890,0.057213,0.050149,0.053150,0.053150,11871500
2018-02-24,0.053291,0.055534,0.051374,0.052566,0.052566,9066980
2018-02-25,0.052507,0.053300,0.049137,0.050711,0.050711,8974970
2018-02-26,0.050645,0.055268,0.050298,0.053807,0.053807,8151460
2018-02-27,0.053940,0.054969,0.051767,0.052129,0.052129,10371500
2018-02-28,0.051722,0.052301,0.048523,0.048528,0.048528,9077890
2018-03-01,0.048509,0.050626,0.048172,0.049075,0.049075,8320570
2018-03-02,0.049164,0.050358,0.045371,0.046368,0.046368,9165450
2018-03-03,0.046356,0.048018,0.044173,0.047215,0.047215,7736220
2018-03-04,0.047146,0.051191,0.046284,0.047177,0.047177,9399210
2018-03-05,0.047276,0.077344,0.046415,0.052860,0.052860,65687400
2018-03-06,0.052885,0.055167,0.046817,0.047111,0.047111,21991400
2018-03-07,0.046988,0.048887,0.037640,0.041399,0.041399,15166200
2018-03-08,0.041464,0.043324,0.037239,0.037521,0.037521,14997800
2018-03-09,0.037402,0.041256,0.031133,0.040695,0.040695,16646600
2018-03-10,0.040623,0.050249,0.040130,0.043576,0.043576,22847300
2018-03-11,0.043565,0.055693,0.040644,0.051573,0.051573,39127300
2018-03-12,0.051306,0.052870,0.044358,0.046308,0.046308,21471400
2018-03-13,0.046332,0.049015,0.043512,0.046047,0.046047,11401300
2018-03-14,0.046199,0.049461,0.039287,0.040833,0.040833,13565000
2018-03-15,0.040915,0.042399,0.038467,0.041405,0.041405,12966400
2018-03-16,0.041476,0.046115,0.039669,0.042510,0.042510,17237500
2018-03-17,0.042610,0.044584,0.040483,0.040867,0.040867,12451900
2018-03-18,0.040834,0.041186,0.034292,0.040974,0.040974,15158500
2018-03-19,0.040648,0.048764,0.039975,0.046647,0.046647,18843500
2018-03-20,0.047131,0.048857,0.043230,0.047747,0.047747,15458000
2018-03-21,0.047919,0.051286,0.045718,0.047356,0.047356,15342900
2018-03-22,0.047352,0.049958,0.044457,0.047551,0.047551,13273700
2018-03-23,0.047534,0.052813,0.043181,0.052472,0.052472,23123400
2018-03-24,0.052732,0.056876,0.051540,0.053265,0.053265,28038200
2018-03-25,0.052326,0.054182,0.051328,0.052512,0.052512,15468400
2018-03-26,0.052475,0.052894,0.044314,0.048630,0.048630,17981300
2018-03-27,0.048608,0.049962,0.044771,0.046741,0.046741,12606700
2018-03-28,0.046630,0.050261,0.045789,0.049151,0.049151,16719100
2018-03-29,0.049341,0.049583,0.042197,0.043687,0.043687,15434000
2018-03-30,0.043606,0.046052,0.040499,0.046052,0.046052,14811400
2018-03-31,0.046042,0.049666,0.044943,0.045991,0.045991,17077700
2018-04-01,0.045975,0.047100,0.041238,0.043248,0.043248,12316000
2018-04-02,0.043399,0.045961,0.043166,0.044648,0.044648,11052700
2018-04-03,0.044641,0.046617,0.044558,0.045947,0.045947,14360100
2018-04-04,0.045947,0.045947,0.040947,0.041919,0.041919,13151500
2018-04-05,0.041918,0.042269,0.038911,0.040404,0.040404,13784600
2018-04-06,0.040354,0.040587,0.037631,0.037730,0.037730,10410900
2018-04-07,0.037651,0.042735,0.037375,0.040268,0.040268,12700500
2018-04-08,0.040418,0.043737,0.040359,0.041304,0.041304,11796100
2018-04-09,0.041351,0.042498,0.038154,0.039072,0.039072,11600400
2018-04-10,0.039118,0.041581,0.038001,0.040148,0.040148,14359300
2018-04-11,0.040135,0.043631,0.039994,0.043567,0.043567,16861700
2018-04-12,0.043542,0.060464,0.043542,0.058987,0.058987,53354400
2018-04-13,0.059129,0.060310,0.052706,0.054581,0.054581,25675800
2018-04-14,0.054345,0.058539,0.053263,0.055840,0.055840,14614800
2018-04-15,0.055979,0.063916,0.055979,0.063879,0.063879,22095800
2018-04-16,0.064058,0.067107,0.060318,0.063160,0.063160,31678100
2018-04-17,0.063179,0.068067,0.063006,0.063909,0.063909,23477500
2018-04-18,0.063876,0.066870,0.063763,0.066021,0.066021,19429200
2018-04-19,0.066015,0.068149,0.064328,0.067975,0.067975,22792300
2018-04-20,0.068003,0.081868,0.066940,0.081868,0.081868,28539600
2018-04-21,0.083556,0.101291,0.073652,0.089033,0.089033,103145000
2018-04-22,0.088516,0.106175,0.085911,0.099762,0.099762,80243400
2018-04-23,0.099818,0.103016,0.091886,0.095335,0.095335,42858900
2018-04-24,0.095428,0.101166,0.090560,0.097892,0.097892,70487600
2018-04-25,0.097000,0.097844,0.078380,0.083839,0.083839,49315700
2018-04-26,0.084786,0.097981,0.081037,0.096938,0.096938,43706300
2018-04-27,0.097086,0.098555,0.090590,0.090647,0.090647,31456800
2018-04-28,0.090257,0.108252,0.089660,0.105054,0.105054,45370600
2018-04-29,0.104873,0.113781,0.101048,0.113781,0.113781,46514000
2018-04-30,0.113720,0.116329,0.100162,0.100871,0.100871,42630300
2018-05-01,0.101696,0.105240,0.094050,0.103312,0.103312,33784600
2018-05-02,0.103444,0.125490,0.100322,0.124302,0.124302,83086704
2018-05-03,0.124577,0.130434,0.119343,0.128712,0.128712,65681600
2018-05-04,0.128498,0.140881,0.125478,0.132311,0.132311,73747200
2018-05-05,0.132111,0.149392,0.131611,0.149392,0.149392,52437900
2018-05-06,0.149732,0.153468,0.128596,0.137457,0.137457,57601600
2018-05-07,0.137795,0.140446,0.123157,0.133789,0.133789,45762100
2018-05-08,0.134742,0.151794,0.134742,0.151794,0.151794,78442896
2018-05-09,0.152492,0.200362,0.152492,0.200330,0.200330,209039008
2018-05-10,0.213037,0.231489,0.181877,0.184948,0.184948,708051968
2018-05-11,0.183583,0.188977,0.149339,0.167737,0.167737,312407008
2018-05-12,0.168801,0.182069,0.149875,0.177033,0.177033,202835008
2018-05-13,0.177429,0.180270,0.171793,0.172521,0.172521,112287000
2018-05-14,0.172049,0.172049,0.160827,0.165314,0.165314,92045296
2018-05-15,0.164604,0.165972,0.148024,0.151765,0.151765,77627504
2018-05-16,0.151582,0.154689,0.135876,0.141347,0.141347,65156500
2018-05-17,0.141941,0.153509,0.134620,0.136084,0.136084,74451600
2018-05-18,0.135887,0.139674,0.131524,0.138597,0.138597,45422900
2018-05-19,0.138405,0.149766,0.132817,0.143588,0.143588,59470900
2018-05-20,0.143630,0.152835,0.142215,0.149186,0.149186,57869700
2018-05-21,0.149289,0.149644,0.141554,0.143121,0.143121,40897200
2018-05-22,0.143265,0.148507,0.136531,0.137059,0.137059,60863400
2018-05-23,0.136916,0.138669,0.115591,0.119712,0.119712,68978496
2018-05-24,0.119577,0.129310,0.115460,0.125544,0.125544,56615200
2018-05-25,0.125941,0.126094,0.119995,0.122172,0.122172,27064000
2018-05-26,0.122263,0.124775,0.119229,0.119888,0.119888,25500200
2018-05-27,0.119716,0.119716,0.115564,0.117055,0.117055,24741100
2018-05-28,0.117002,0.118497,0.100511,0.100511,0.100511,38503100
2018-05-29,0.101013,0.115224,0.098147,0.112595,0.112595,58362600
2018-05-30,0.113131,0.119303,0.106519,0.111430,0.111430,47962200
2018-05-31,0.111344,0.115891,0.108778,0.113184,0.113184,39229900
2018-06-01,0.113214,0.113994,0.109313,0.112366,0.112366,31390500
2018-06-02,0.112573,0.120622,0.111722,0.119623,0.119623,42076000
2018-06-03,0.119476,0.133177,0.119476,0.128451,0.128451,95989000
2018-06-04,0.128251,0.129445,0.117814,0.122085,0.122085,54719300
2018-06-05,0.121907,0.127752,0.116857,0.127538,0.127538,46461500
2018-06-06,0.127555,0.133254,0.124194,0.131766,0.131766,54667900
2018-06-07,0.131549,0.138634,0.130159,0.131507,0.131507,62958500
2018-06-08,0.131367,0.131977,0.125063,0.127308,0.127308,39539700
2018-06-09,0.127344,0.129192,0.121294,0.121294,0.121294,28660000
2018-06-10,0.121535,0.121535,0.099626,0.104370,0.104370,56417700
2018-06-11,0.104118,0.106082,0.096442,0.105418,0.105418,53442800
2018-06-12,0.105354,0.105354,0.090425,0.092837,0.092837,43541600
2018-06-13,0.092843,0.092843,0.080927,0.085311,0.085311,50254300
2018-06-14,0.085287,0.094709,0.084112,0.094709,0.094709,56441200
2018-06-15,0.094597,0.094597,0.087153,0.087485,0.087485,30032000
2018-06-16,0.087352,0.087893,0.084751,0.085737,0.085737,22941600
2018-06-17,0.085778,0.087669,0.084924,0.085109,0.085109,13932900
2018-06-18,0.084997,0.089346,0.082826,0.087316,0.087316,19265300
2018-06-19,0.087394,0.091431,0.086056,0.089640,0.089640,25797500
2018-06-20,0.089528,0.089853,0.082571,0.087986,0.087986,33873600
2018-06-21,0.088040,0.088887,0.083957,0.084519,0.084519,24178200
2018-06-22,0.084507,0.084672,0.069871,0.071365,0.071365,38951500
2018-06-23,0.071644,0.072923,0.067166,0.069241,0.069241,20876400
2018-06-24,0.069254,0.069475,0.057170,0.062306,0.062306,42415800
2018-06-25,0.062143,0.070227,0.061182,0.066627,0.066627,35408800
2018-06-26,0.066755,0.069812,0.062845,0.062845,0.062845,25761300
2018-06-27,0.062854,0.064798,0.061598,0.064405,0.064405,18895400
2018-06-28,0.064556,0.068628,0.059899,0.060699,0.060699,40172400
2018-06-29,0.060656,0.066839,0.059715,0.065850,0.065850,25132600
2018-06-30,0.065794,0.076978,0.065794,0.073197,0.073197,59718800
2018-07-01,0.073161,0.075810,0.068798,0.071552,0.071552,34840000
2018-07-02,0.071433,0.080123,0.070910,0.074785,0.074785,41058200
2018-07-03,0.074993,0.091831,0.074921,0.077959,0.077959,43580300
2018-07-04,0.078637,0.088843,0.075799,0.086435,0.086435,57844200
2018-07-05,0.087103,0.092662,0.082640,0.085772,0.085772,62863500
2018-07-06,0.085542,0.086236,0.077198,0.085353,0.085353,53043900
2018-07-07,0.085658,0.086652,0.079323,0.085636,0.085636,26831300
2018-07-08,0.086033,0.088401,0.083410,0.084108,0.084108,30611700
2018-07-09,0.084198,0.084317,0.078427,0.078674,0.078674,33386300
2018-07-10,0.078278,0.078484,0.068140,0.068140,0.068140,35386700
2018-07-11,0.067829,0.070445,0.064413,0.068973,0.068973,33218000
2018-07-12,0.069138,0.069138,0.062907,0.065423,0.065423,20314000
2018-07-13,0.066483,0.069375,0.066173,0.066479,0.066479,23651300
2018-07-14,0.066622,0.067814,0.066018,0.067008,0.067008,10842100
2018-07-15,0.066918,0.070864,0.066551,0.069316,0.069316,13781700
2018-07-16,0.069329,0.075771,0.068466,0.075771,0.075771,26147000
2018-07-17,0.075670,0.082813,0.073539,0.082223,0.082223,33930400
2018-07-18,0.082171,0.088798,0.079663,0.082361,0.082361,54082300
2018-07-19,0.081955,0.084159,0.078251,0.080128,0.080128,32283900
2018-07-20,0.080014,0.080014,0.069914,0.070874,0.070874,36950400
2018-07-21,0.070842,0.074750,0.068718,0.073195,0.073195,18686900
2018-07-22,0.073217,0.074772,0.071726,0.071879,0.071879,15980400
2018-07-23,0.071675,0.074405,0.069253,0.069505,0.069505,23392500
2018-07-24,0.069426,0.074424,0.066300,0.072967,0.072967,37423300
2018-07-25,0.072766,0.079540,0.072766,0.077129,0.077129,50683100
2018-07-26,0.076988,0.079146,0.071665,0.073334,0.073334,41661500
2018-07-27,0.073314,0.076810,0.070623,0.075654,0.075654,26385500
2018-07-28,0.075808,0.080378,0.074945,0.079740,0.079740,23443300
2018-07-29,0.079948,0.080255,0.074721,0.074929,0.074929,16236300
2018-07-30,0.074767,0.074767,0.069564,0.071932,0.071932,18247700
2018-07-31,0.071724,0.071950,0.065493,0.067350,0.067350,19371400
2018-08-01,0.067276,0.068270,0.063710,0.066364,0.066364,14000400
2018-08-02,0.066337,0.066817,0.059410,0.059983,0.059983,15408500
2018-08-03,0.059960,0.060535,0.054642,0.058640,0.058640,19813600
2018-08-04,0.058671,0.060481,0.054966,0.055758,0.055758,12433100
2018-08-05,0.055918,0.058802,0.054939,0.057874,0.057874,10026200
